winner,pokemon1_p1,pokemon2_p1,pokemon3_p1,pokemon4_p1,pokemon5_p1,pokemon6_p1,pokemon1_p2,pokemon2_p2,pokemon3_p2,pokemon4_p2,pokemon5_p2,pokemon6_p2
1,Rillaboom,Tornadus,Urshifu,Flutter Mane,Landorus,Kingambit,Scream Tail,Dragonite,Chien,Ogerpon,Rillaboom,Landorus
2,Scizor,Chien,Roaring Moon,Gholdengo,Landorus,Sinistcha,Weezing,Landorus,Ogerpon,Heatran,Rillaboom,Iron Hands
2,Iron Hands,Kingambit,Flutter Mane,Gyarados,Ogerpon,Landorus,Chien,Rillaboom,Arcanine,Tornadus,Urshifu,Flutter Mane
1,Dragonite,Flutter Mane,Iron Hands,Kingambit,Arcanine,Ogerpon,Ogerpon,Arcanine,Iron Hands,Zapdos,Gholdengo,Urshifu
2,Iron Hands,Ursaluna,Flutter Mane,Urshifu,Ogerpon,Tornadus,Dusclops,Ursaluna,Iron Hands,Amoonguss,Chi,Urshifu
2,Armarouge,Indeedee,Hatterene,Torkoal,Kingambit,Flutter Mane,Talonflame,Flutter Mane,Urshifu,Iron Hands,Ursaluna,Cresselia
2,Ursaluna,Cresselia,Tornadus,Flutter Mane,Chien,Iron Hands,Indeedee,Armarouge,Torkoal,Weezing,Ursaluna,Lilligant
1,Iron Hands,Urshifu,Chi,Sinistcha,Flutter Mane,Landorus,Orthworm,Landorus,Heatran,Dragonite,Iron Hands,Flutter Mane
2,Ogerpon,Flutter Mane,Heatran,Chien,Landorus,Iron Hands,Tornadus,Gholdengo,Urshifu,Regidrago,Rillaboom,Arcanine
1,Illumise,Chi,Dondozo,Tatsugiri,Flutter Mane,Ogerpon,Rillaboom,Ogerpon,Arcanine,Dragonite,Chien,Flutter Mane
1,Weezing,Roaring Moon,Ogerpon,Regieleki,Sinistcha,Kingambit,Lycanroc,Tyranitar,Tornadus,Urshifu,Farigiraf,Rillaboom
2,Heatran,Ogerpon,Flutter Mane,Iron Hands,Landorus,Cresselia,Ogerpon,Milotic,Heatran,Zapdos,Landorus,Gothitelle
1,Munkidori,Kingambit,Hatterene,Torkoal,Ursaluna,Dusclops,Sinistcha,Arcanine,Kommo,Fezandipiti,Milotic,Kingambit
2,Urshifu,Heatran,Politoed,Tornadus,Flutter Mane,Iron Hands,Landorus,Tornadus,Flutter Mane,Iron Hands,Arcanine,Chi
1,Cresselia,Torkoal,Regidrago,Gholdengo,Tornadus,Urshifu,Torkoal,Ursaluna,Lilligant,Ogerpon,Flutter Mane,Tornadus
2,Urshifu,Ninetales,Goodra,Milotic,Ogerpon,Tornadus,Rillaboom,Ninetales,Landorus,Gholdengo,Urshifu,Moltres
1,Heatran,Scream Tail,Cresselia,Ogerpon,Ting,Dragonite,Torkoal,Flutter Mane,Iron Hands,Ogerpon,Tyranitar,Farigiraf
1,Munkidori,Kingambit,Hatterene,Torkoal,Ursaluna,Dusclops,Sinistcha,Arcanine,Kommo,Fezandipiti,Milotic,Kingambit
1,Trevenant,Glimmora,Indeedee,Torkoal,Crawdaunt,Fezandipiti,Moltres,Dragonite,Munkidori,Sinistcha,Grimmsnarl,Milotic
1,Landorus,Snorlax,Sinistcha,Iron Hands,Clefairy,Kommo,Ogerpon,Tornadus,Scream Tail,Flutter Mane,Roaring Moon,Great Tusk
2,Oranguru,Bellibolt,Sinistcha,Flutter Mane,Mamoswine,Farigiraf,Ogerpon,Arcanine,Gholdengo,Roaring Moon,Rotom,Ninetales
1,Moltres,Arcanine,Munkidori,Sinistcha,Grimmsnarl,Milotic,Tyranitar,Kommo,Arcanine,Rillaboom,Flutter Mane,Iron Bundle
2,Lilligant,Torkoal,Tinkaton,Goodra,Ogerpon,Gardevoir,Kommo,Clefairy,Iron Hands,Sinistcha,Urshifu,Ursaluna
2,Ninetales,Lilligant,Ogerpon,Roaring Moon,Flutter Mane,Iron Hands,Heatran,Scream Tail,Cresselia,Ogerpon,Ting,Dragonite
2,Gholdengo,Ogerpon,Tornadus,Arcanine,Urshifu,Flutter Mane,Ursaluna,Cresselia,Flutter Mane,Chi,Iron Hands,Urshifu
1,Ogerpon,Maushold,Murkrow,Flutter Mane,Ting,Urshifu,Ceruledge,Scizor,Tornadus,Rillaboom,Urshifu,Salamence
2,Ninetales,Beartic,Clawitzer,Chi,Empoleon,Gliscor,Persian,Arcanine,Milotic,Mimikyu,Appletun,Sneasler
2,Flutter Mane,Zapdos,Rillaboom,Ting,Indeedee,Grimmsnarl,Annihilape,Sinistcha,Grimmsnarl,Landorus,Bellibolt,Corviknight
1,Ursaluna,Cresselia,Flutter Mane,Chi,Iron Hands,Urshifu,Cresselia,Ninetales,Arcanine,Rillaboom,Roaring Moon,Annihilape
2,Garchomp,Iron Hands,Landorus,Ogerpon,Chien,Indeedee,Rillaboom,Jumpluff,Lurantis,Ninetales,Brambleghast,Gogoat
2,Sylveon,Volbeat,Clefairy,Landorus,Rillaboom,Cetitan,Zapdos,Scream Tail,Urshifu,Rillaboom,Arcanine,Gholdengo
2,Tornadus,Sinistcha,Urshifu,Ogerpon,Flutter Mane,Chien,Kommo,Clefairy,Iron Hands,Sinistcha,Urshifu,Ursaluna
2,Zapdos,Scream Tail,Urshifu,Rillaboom,Arcanine,Gholdengo,Urshifu,Fezandipiti,Iron Hands,Flutter Mane,Ogerpon,Umbreon
1,Clefairy,Ogerpon,Flutter Mane,Iron Hands,Kingambit,Landorus,Tornadus,Urshifu,Ogerpon,Moltres,Landorus,Flutter Mane
2,Iron Hands,Kommo,Sinistcha,Oricorio,Milotic,Clefairy,Dondozo,Tatsugiri,Iron Bundle,Cresselia,Regieleki,Ogerpon
2,Iron Hands,Kommo,Sinistcha,Oricorio,Milotic,Clefairy,Ninetales,Baxcalibur,Chien,Sneasler,Indeedee,Iron Bundle
1,Tornadus,Flutter Mane,Zapdos,Rillaboom,Gholdengo,Urshifu,Ogerpon,Talonflame,Urshifu,Landorus,Ursaluna,Flutter Mane
2,Gholdengo,Murkrow,Heatran,Amoonguss,Ogerpon,Iron Hands,Mamoswine,Ninetales,Iron Hands,Tornadus,Ogerpon,Cetitan
1,Snorlax,Sinistcha,Landorus,Iron Hands,Clefairy,Kommo,Dondozo,Tatsugiri,Iron Bundle,Cresselia,Regieleki,Ogerpon
1,Tornadus,Sinistcha,Urshifu,Ogerpon,Flutter Mane,Chien,Politoed,Ludicolo,Farigiraf,Chien,Ursaluna,Rotom
1,Lilligant,Torkoal,Tinkaton,Goodra,Ogerpon,Gardevoir,Arcanine,Urshifu,Rillaboom,Sinistcha,Dragonite,Chien
1,Flutter Mane,Tornadus,Rillaboom,Garganacl,Arcanine,Chien,Volcarona,Cresselia,Gyarados,Grimmsnarl,Sinistcha,Baxcalibur
1,Flamigo,Magcargo,Clefairy,Rillaboom,Urshifu,Landorus,Volcarona,Cresselia,Gyarados,Grimmsnarl,Sinistcha,Baxcalibur
2,Garganacl,Ninetales,Ogerpon,Breloom,Iron Hands,Landorus,Sylveon,Volbeat,Clefairy,Landorus,Rillaboom,Cetitan
1,Flutter Mane,Ogerpon,Tornadus,Urshifu,Ursaluna,Iron Hands,Dondozo,Rillaboom,Ogerpon,Tornadus,Regieleki,Tatsugiri
2,Ogerpon,Weezing,Rillaboom,Roaring Moon,Flutter Mane,Urshifu,Rillaboom,Iron Hands,Grimmsnarl,Arcanine,Flutter Mane,Landorus
1,Mamoswine,Ninetales,Iron Hands,Tornadus,Ogerpon,Cetitan,Gardevoir,Chi,Ogerpon,Thundurus,Garchomp,Roaring Moon
2,Iron Hands,Chien,Arcanine,Urshifu,Tornadus,Gholdengo,Landorus,Murkrow,Ogerpon,Dragonite,Chien,Urshifu
2,Flutter Mane,Ogerpon,Iron Hands,Chi,Tornadus,Heatran,Iron Hands,Landorus,Chi,Tornadus,Amoonguss,Regieleki
1,Furret,Tornadus,Landorus,Samurott,Amoonguss,Volcarona,Hariyama,Clodsire,Tropius,Toxapex,Barraskewda,Drifblim
2,Wigglytuff,Stantler,Crawdaunt,Indeedee,Golem,Tatsugiri,Flutter Mane,Tornadus,Rillaboom,Garganacl,Arcanine,Chien
2,Baxcalibur,Sinistcha,Clefairy,Dragonite,Arcanine,Spectrier,Mamoswine,Ninetales,Iron Hands,Tornadus,Ogerpon,Cetitan
1,Flutter Mane,Tornadus,Rillaboom,Garganacl,Arcanine,Chien,Slither Wing,Torkoal,Lilligant,Flutter Mane,Sandy Shocks,Chien
2,Flutter Mane,Torkoal,Lilligant,Farigiraf,Kingambit,Iron Hands,Landorus,Murkrow,Ogerpon,Dragonite,Chien,Urshifu
2,Armarouge,Iron Bundle,Landorus,Indeedee,Iron Hands,Kingambit,Slither Wing,Torkoal,Lilligant,Cresselia,Iron Hands,Ursaluna
1,Cetitan,Ninetales,Iron Hands,Sinistcha,Arcanine,Milotic,Roaring Moon,Milotic,Landorus,Flutter Mane,Iron Hands,Ogerpon
1,Trevenant,Glimmora,Indeedee,Torkoal,Crawdaunt,Fezandipiti,Sinistcha,Spectrier,Iron Hands,Ogerpon,Urshifu,Kingambit
2,Kommo,Torterra,Ogerpon,Arcanine,Flutter Mane,Tornadus,Mamoswine,Ninetales,Iron Hands,Tornadus,Ogerpon,Cetitan
2,Glimmora,Kingambit,Altaria,Sableye,Armarouge,Grimmsnarl,Decidueye,Urshifu,Arcanine,Honchkrow,Crabominable,Chesnaught
2,Iron Hands,Amoonguss,Heatran,Urshifu,Landorus,Roaring Moon,Iron Bundle,Ogerpon,Landorus,Iron Hands,Rillaboom,Heatran
2,Dondozo,Tatsugiri,Sylveon,Iron Hands,Landorus,Cresselia,Gholdengo,Ogerpon,Arcanine,Chien,Scream Tail,Dragonite
1,Dusclops,Ursaluna,Iron Hands,Amoonguss,Chi,Ogerpon,Sinistcha,Iron Hands,Goodra,Landorus,Moltres,Iron Moth
2,Landorus,Flutter Mane,Chien,Tornadus,Heatran,Iron Hands,Chien,Tornadus,Flutter Mane,Arcanine,Rillaboom,Urshifu
1,Brute Bonnet,Tornadus,Gallade,Ogerpon,Urshifu,Flutter Mane,Ogerpon,Arcanine,Iron Hands,Zapdos,Gholdengo,Urshifu
1,Annihilape,Grimmsnarl,Rabsca,Sinistcha,Kommo,Iron Hands,Tornadus,Arcanine,Iron Hands,Gholdengo,Urshifu,Ogerpon
2,Ogerpon,Arcanine,Gholdengo,Tornadus,Iron Hands,Urshifu,Oranguru,Maushold,Urshifu,Bruxish,Ursaluna,Torkoal
1,Amoonguss,Chien,Iron Hands,Ogerpon,Flutter Mane,Landorus,Flutter Mane,Chi,Ninetales,Baxcalibur,Ogerpon,Tornadus
1,Urshifu,Flutter Mane,Indeedee,Armarouge,Iron Hands,Kingambit,Roaring Moon,Flutter Mane,Landorus,Iron Hands,Milotic,Ogerpon
2,Empoleon,Iron Valiant,Arcanine,Illumise,Landorus,Roaring Moon,Flutter Mane,Iron Hands,Ogerpon,Chi,Landorus,Cresselia
1,Ogerpon,Landorus,Illumise,Weezing,Farigiraf,Gholdengo,Dondozo,Tatsugiri,Flutter Mane,Chien,Ogerpon,Dragonite
1,Espathra,Landorus,Flutter Mane,Sableye,Tornadus,Gholdengo,Urshifu,Sinistcha,Chi,Flutter Mane,Iron Hands,Landorus
1,Torkoal,Cresselia,Ursaluna,Flutter Mane,Clefairy,Dragonite,Flutter Mane,Landorus,Iron Hands,Ogerpon,Arcanine,Grimmsnarl
1,Okidogi,Arcanine,Ogerpon,Ninetales,Zapdos,Rillaboom,Indeedee,Torkoal,Armarouge,Hatterene,Iron Hands,Urshifu
1,Iron Hands,Sinistcha,Ninetales,Heatran,Baxcalibur,Empoleon,Tornadus,Flutter Mane,Chi,Iron Hands,Landorus,Ogerpon
2,Weezing,Roaring Moon,Flutter Mane,Iron Hands,Ogerpon,Arcanine,Maushold,Annihilape,Armarouge,Indeedee,Sylveon,Cresselia
2,Iron Hands,Grimmsnarl,Cresselia,Maushold,Torkoal,Roaring Moon,Indeedee,Sneasler,Urshifu,Flutter Mane,Regieleki,Tornadus
1,Pelipper,Ogerpon,Chien,Iron Hands,Farigiraf,Urshifu,Sinistcha,Heatran,Ursaluna,Iron Hands,Gyarados,Clefairy
2,Politoed,Rillaboom,Zapdos,Gholdengo,Farigiraf,Urshifu,Glimmora,Chi,Dondozo,Tatsugiri,Scream Tail,Urshifu
1,Scream Tail,Dragonite,Chien,Ogerpon,Rillaboom,Landorus,Moltres,Arcanine,Munkidori,Sinistcha,Grimmsnarl,Milotic
1,Salazzle,Kilowattrel,Urshifu,Revavroom,Scream Tail,Gothorita,Sableye,Landorus,Bronzong,Arcanine,Ogerpon,Iron Valiant
2,Chien,Rillaboom,Tornadus,Urshifu,Farigiraf,Landorus,Tyranitar,Lycanroc,Gholdengo,Zapdos,Ogerpon,Landorus
1,Dondozo,Tatsugiri,Flutter Mane,Ogerpon,Rillaboom,Glimmora,Dragonite,Ninetales,Iron Bundle,Kingambit,Rillaboom,Flutter Mane
2,Ogerpon,Tornadus,Milotic,Sinistcha,Wyrdeer,Chi,Dondozo,Tatsugiri,Flutter Mane,Ogerpon,Rillaboom,Glimmora
1,Iron Hands,Flutter Mane,Iron Bundle,Arcanine,Kingambit,Ogerpon,Tornadus,Landorus,Baxcalibur,Toxtricity,Ogerpon,Flutter Mane
2,Gholdengo,Iron Hands,Landorus,Tornadus,Urshifu,Ogerpon,Ogerpon,Tyranitar,Houndstone,Tornadus,Farigiraf,Flutter Mane
1,Zapdos,Rillaboom,Arcanine,Cresselia,Iron Bundle,Ursaluna,Regidrago,Indeedee,Lilligant,Torkoal,Armarouge,Ursaluna
2,Tornadus,Urshifu,Landorus,Heatran,Iron Hands,Sinistcha,Landorus,Flutter Mane,Chi,Iron Hands,Ogerpon,Rillaboom
1,Dondozo,Tatsugiri,Heatran,Sinistcha,Landorus,Flutter Mane,Regieleki,Flutter Mane,Palafin,Roaring Moon,Weezing,Landorus
2,Mimikyu,Pelipper,Rillaboom,Gholdengo,Urshifu,Roaring Moon,Heatran,Iron Bundle,Rillaboom,Gothitelle,Urshifu,Landorus
1,Iron Bundle,Ogerpon,Landorus,Heatran,Rillaboom,Farigiraf,Ursaluna,Cresselia,Iron Hands,Heatran,Amoonguss,Sinistcha
1,Okidogi,Grimmsnarl,Landorus,Iron Bundle,Chi,Rillaboom,Tyranitar,Articuno,Iron Hands,Ogerpon,Arcanine,Sinistcha
1,Grimmsnarl,Ogerpon,Okidogi,Flutter Mane,Glimmora,Heatran,Iron Hands,Amoonguss,Landorus,Ogerpon,Flutter Mane,Chi
2,Armarouge,Indeedee,Torkoal,Iron Bundle,Ursaluna,Urshifu,Chien,Arcanine,Urshifu,Flutter Mane,Rillaboom,Ogerpon
1,Flutter Mane,Landorus,Cresselia,Snorlax,Amoonguss,Iron Hands,Heatran,Cresselia,Thundurus,Landorus,Glastrier,Ogerpon
1,Tornadus,Sinistcha,Basculegion,Arcanine,Iron Hands,Chien,Ninetales,Chi,Ogerpon,Iron Hands,Flutter Mane,Landorus
1,Talonflame,Urshifu,Rillaboom,Flutter Mane,Dragonite,Bronzong,Chi,Flutter Mane,Tornadus,Landorus,Iron Hands,Urshifu
2,Dusclops,Torkoal,Iron Hands,Ogerpon,Ursaluna,Clefable,Arcanine,Roaring Moon,Weezing,Flutter Mane,Urshifu,Torkoal
1,Ninetales,Flutter Mane,Chi,Roaring Moon,Ogerpon,Rillaboom,Annihilape,Maushold,Gholdengo,Arcanine,Sinistcha,Chien
1,Landorus,Tornadus,Iron Hands,Flutter Mane,Ogerpon,Kingambit,Urshifu,Ninetales,Dondozo,Tatsugiri,Glimmora,Iron Hands
2,Amoonguss,Flutter Mane,Heatran,Tornadus,Dragonite,Chien,Ninetales,Cetitan,Chi,Ogerpon,Roaring Moon,Annihilape
2,Ogerpon,Pelipper,Urshifu,Arcanine,Basculegion,Flutter Mane,Iron Hands,Flutter Mane,Iron Bundle,Arcanine,Kingambit,Ogerpon
1,Dondozo,Tatsugiri,Flutter Mane,Ogerpon,Rillaboom,Glimmora,Flutter Mane,Landorus,Chi,Ogerpon,Farigiraf,Sableye
2,Dragonite,Cresselia,Iron Hands,Arcanine,Milotic,Sinistcha,Ogerpon,Landorus,Iron Hands,Flutter Mane,Roaring Moon,Gholdengo
1,Farigiraf,Rillaboom,Heatran,Gyarados,Gallade,Ursaluna,Chi,Iron Hands,Landorus,Dusclops,Ogerpon,Ursaluna
2,Iron Hands,Heatran,Landorus,Ogerpon,Cresselia,Flutter Mane,Illumise,Chi,Flutter Mane,Landorus,Iron Hands,Ogerpon
1,Tornadus,Meowscarada,Dondozo,Tatsugiri,Flutter Mane,Glimmora,Talonflame,Urshifu,Shiftry,Flutter Mane,Landorus,Gholdengo
2,Heatran,Scream Tail,Cresselia,Ogerpon,Ting,Dragonite,Mamoswine,Roaring Moon,Ogerpon,Heatran,Flutter Mane,Rillaboom
1,Mamoswine,Iron Hands,Tornadus,Grimmsnarl,Flutter Mane,Heatran,Articuno,Ninetales,Baxcalibur,Iron Hands,Heatran,Ogerpon
1,Ursaluna,Cresselia,Flutter Mane,Chi,Iron Hands,Urshifu,Dragapult,Chien,Farigiraf,Urshifu,Heatran,Iron Hands
2,Grafaiai,Baxcalibur,Ninetales,Breloom,Gholdengo,Heatran,Ogerpon,Chien,Iron Hands,Urshifu,Murkrow,Flutter Mane
1,Mamoswine,Ninetales,Iron Hands,Tornadus,Ogerpon,Cetitan,Dragapult,Flutter Mane,Indeedee,Pawmot,Ursaluna,Gyarados
1,Scizor,Gastrodon,Arcanine,Noivern,Chesnaught,Dusclops,Roaring Moon,Iron Valiant,Weezing,Flutter Mane,Ogerpon,Sinistcha
1,Mamoswine,Iron Hands,Tornadus,Grimmsnarl,Flutter Mane,Heatran,Krookodile,Sneasler,Rillaboom,Illumise,Armarouge,Indeedee
1,Ursaluna,Cresselia,Flutter Mane,Chi,Iron Hands,Urshifu,Electrode,Farigiraf,Sinistcha,Ursaluna,Arcanine,Iron Hands
1,Scizor,Gastrodon,Arcanine,Noivern,Chesnaught,Dusclops,Kommo,Tyranitar,Rillaboom,Flutter Mane,Arcanine,Iron Bundle
2,Ninetales,Volcarona,Polteageist,Flareon,Baxcalibur,Breloom,Grimmsnarl,Gholdengo,Ogerpon,Kommo,Samurott,Wyrdeer
2,Ogerpon,Urshifu,Tornadus,Landorus,Flutter Mane,Kingambit,Ogerpon,Landorus,Chien,Empoleon,Dusclops,Torkoal
2,Ninetales,Volcarona,Polteageist,Flareon,Baxcalibur,Breloom,Grimmsnarl,Gholdengo,Ogerpon,Kommo,Samurott,Wyrdeer
1,Ursaluna,Cresselia,Flutter Mane,Chi,Iron Hands,Urshifu,Electrode,Farigiraf,Sinistcha,Ursaluna,Arcanine,Iron Hands
2,Gothitelle,Scream Tail,Urshifu,Politoed,Ludicolo,Masquerain,Volbeat,Ogerpon,Great Tusk,Clefairy,Munkidori,Vikavolt
1,Dusclops,Ursaluna,Iron Hands,Armarouge,Indeedee,Urshifu,Cresselia,Enamorus,Ursaluna,Urshifu,Iron Hands,Goodra
1,Politoed,Gothitelle,Ogerpon,Basculegion,Zapdos,Chien,Tornadus,Landorus,Flutter Mane,Kingambit,Arcanine,Iron Hands
1,Chi,Iron Hands,Flutter Mane,Ogerpon,Urshifu,Tornadus,Dondozo,Tatsugiri,Rillaboom,Volcarona,Clefairy,Baxcalibur
1,Weezing,Ogerpon,Dragonite,Iron Bundle,Chien,Flutter Mane,Flutter Mane,Tornadus,Urshifu,Arcanine,Chien,Rillaboom
2,Ogerpon,Ursaluna,Arcanine,Sinistcha,Iron Hands,Gyarados,Weezing,Landorus,Iron Hands,Ogerpon,Flutter Mane,Thundurus
2,Regieleki,Arcanine,Urshifu,Spectrier,Rillaboom,Sneasler,Lilligant,Torkoal,Chandelure,Goodra,Iron Hands,Landorus
2,Gothitelle,Scream Tail,Urshifu,Politoed,Ludicolo,Masquerain,Volbeat,Ogerpon,Great Tusk,Clefairy,Munkidori,Vikavolt
1,Lilligant,Torkoal,Chandelure,Goodra,Iron Hands,Landorus,Tornadus,Landorus,Flutter Mane,Kingambit,Arcanine,Iron Hands
1,Ogerpon,Landorus,Chien,Empoleon,Dusclops,Torkoal,Indeedee,Armarouge,Hatterene,Torkoal,Ursaluna,Lilligant
2,Landorus,Iron Hands,Rillaboom,Flutter Mane,Ogerpon,Arcanine,Ninetales,Tornadus,Landorus,Flutter Mane,Ogerpon,Ursaluna
1,Lilligant,Torkoal,Chandelure,Goodra,Iron Hands,Landorus,Lilligant,Torkoal,Gastrodon,Flutter Mane,Chien,Roaring Moon
2,Landorus,Iron Hands,Rillaboom,Flutter Mane,Ogerpon,Arcanine,Ninetales,Tornadus,Landorus,Flutter Mane,Ogerpon,Ursaluna
1,Noctowl,Sinistcha,Gyarados,Arcanine,Clefairy,Garchomp,Iron Hands,Flutter Mane,Roaring Moon,Weezing,Landorus,Ogerpon
1,Ogerpon,Iron Hands,Flutter Mane,Amoonguss,Roaring Moon,Landorus,Goodra,Arcanine,Amoonguss,Cresselia,Gyarados,Tyranitar
2,Fezandipiti,Tornadus,Flutter Mane,Ogerpon,Dragonite,Heatran,Annihilape,Sinistcha,Grimmsnarl,Landorus,Bellibolt,Corviknight
1,Lilligant,Torkoal,Chandelure,Goodra,Iron Hands,Landorus,Sinistcha,Ogerpon,Arcanine,Clefairy,Iron Hands,Ursaluna
2,Dusclops,Chi,Iron Hands,Ogerpon,Landorus,Ursaluna,Revavroom,Flutter Mane,Dragonite,Chien,Ogerpon,Chi
1,Tornadus,Tinkaton,Urshifu,Rillaboom,Clodsire,Heatran,Chien,Iron Hands,Landorus,Flutter Mane,Tornadus,Tatsugiri
1,Gholdengo,Iron Hands,Amoonguss,Iron Bundle,Pelipper,Salamence,Dondozo,Tatsugiri,Rillaboom,Volcarona,Kingambit,Clefairy
2,Conkeldurr,Thundurus,Rillaboom,Slowbro,Ogerpon,Flutter Mane,Torkoal,Ursaluna,Lilligant,Ogerpon,Flutter Mane,Tornadus
2,Zapdos,Urshifu,Landorus,Rillaboom,Heatran,Flutter Mane,Noctowl,Sinistcha,Gyarados,Arcanine,Clefairy,Garchomp
1,Chi,Flutter Mane,Ursaluna,Thundurus,Flamigo,Pelipper,Rillaboom,Chien,Empoleon,Dragapult,Arcanine,Grimmsnarl
1,Landorus,Iron Hands,Rillaboom,Flutter Mane,Ogerpon,Arcanine,Ninetales,Tornadus,Landorus,Flutter Mane,Ogerpon,Ursaluna
1,Lilligant,Torkoal,Chandelure,Goodra,Iron Hands,Landorus,Ursaluna,Oranguru,Maushold,Torkoal,Urshifu,Bruxish
1,Lilligant,Torkoal,Chandelure,Goodra,Iron Hands,Landorus,Chi,Flutter Mane,Ursaluna,Gholdengo,Thundurus,Flamigo
1,Rillaboom,Landorus,Heatran,Flutter Mane,Urshifu,Tornadus,Pelipper,Golduck,Dondozo,Tatsugiri,Rotom,Brute Bonnet
2,Ursaluna,Dusclops,Flutter Mane,Landorus,Heatran,Iron Hands,Cresselia,Ursaluna,Amoonguss,Heatran,Landorus,Tornadus
1,Ogerpon,Maushold,Murkrow,Flutter Mane,Ting,Urshifu,Brute Bonnet,Dragapult,Heatran,Farigiraf,Rillaboom,Milotic
1,Rillaboom,Landorus,Heatran,Flutter Mane,Urshifu,Tornadus,Gholdengo,Iron Hands,Amoonguss,Iron Bundle,Pelipper,Salamence
1,Grafaiai,Roaring Moon,Lilligant,Flutter Mane,Iron Hands,Mudsdale,Kommo,Clawitzer,Heatran,Flutter Mane,Torkoal,Farigiraf
2,Moltres,Arcanine,Munkidori,Sinistcha,Grimmsnarl,Milotic,Decidueye,Urshifu,Arcanine,Honchkrow,Crabominable,Electrode
2,Ninetales,Chien,Heatran,Urshifu,Ogerpon,Uxie,Volcarona,Oricorio,Iron Hands,Flutter Mane,Amoonguss,Landorus
2,Illumise,Chi,Flutter Mane,Landorus,Iron Hands,Ogerpon,Indeedee,Armarouge,Urshifu,Regidrago,Regieleki,Landorus
2,Ursaluna,Iron Hands,Maushold,Sinistcha,Ogerpon,Armarouge,Ninetales,Iron Bundle,Dondozo,Tatsugiri,Cresselia,Ursaluna
2,Chien,Tornadus,Iron Hands,Flutter Mane,Amoonguss,Ogerpon,Chi,Tornadus,Landorus,Flutter Mane,Ogerpon,Urshifu
2,Tornadus,Gholdengo,Urshifu,Regidrago,Rillaboom,Landorus,Ogerpon,Indeedee,Armarouge,Urshifu,Tornadus,Flutter Mane
2,Kommo,Indeedee,Sinistcha,Sneasler,Armarouge,Annihilape,Flutter Mane,Chi,Dondozo,Tatsugiri,Ninetales,Iron Hands
1,Farigiraf,Maushold,Ursaluna,Iron Hands,Torkoal,Cresselia,Tornadus,Regidrago,Gholdengo,Urshifu,Farigiraf,Ogerpon
2,Ogerpon,Empoleon,Tornadus,Urshifu,Landorus,Chien,Roaring Moon,Amoonguss,Urshifu,Landorus,Iron Hands,Chien
1,Sneasler,Arcanine,Ogerpon,Rillaboom,Flutter Mane,Corviknight,Grimmsnarl,Iron Hands,Ursaluna,Gyarados,Indeedee,Armarouge
1,Indeedee,Torkoal,Armarouge,Hatterene,Iron Hands,Urshifu,Goodra,Urshifu,Tornadus,Flutter Mane,Ogerpon,Landorus
1,Weezing,Flutter Mane,Landorus,Chien,Rillaboom,Roaring Moon,Dondozo,Ogerpon,Tatsugiri,Glimmora,Flutter Mane,Iron Hands
2,Snorlax,Flutter Mane,Urshifu,Sinistcha,Arcanine,Cresselia,Flutter Mane,Chi,Urshifu,Landorus,Rillaboom,Thundurus
2,Flutter Mane,Chi,Urshifu,Landorus,Rillaboom,Thundurus,Tornadus,Flutter Mane,Chien,Ogerpon,Haxorus,Conkeldurr
1,Ting,Landorus,Sinistcha,Ariados,Milotic,Cresselia,Gothitelle,Urshifu,Rillaboom,Tornadus,Gholdengo,Chien
1,Heatran,Flutter Mane,Amoonguss,Tornadus,Urshifu,Iron Hands,Farigiraf,Heatran,Chien,Flutter Mane,Iron Hands,Urshifu
1,Tyranitar,Lycanroc,Gholdengo,Zapdos,Ogerpon,Landorus,Tornadus,Iron Hands,Indeedee,Urshifu,Armarouge,Flutter Mane
2,Arcanine,Baxcalibur,Ninetales,Tornadus,Gastrodon,Sinistcha,Kingambit,Sneasler,Flutter Mane,Sinistcha,Dragonite,Chien
2,Farigiraf,Rillaboom,Urshifu,Heatran,Chien,Flutter Mane,Tornadus,Landorus,Rillaboom,Urshifu,Flutter Mane,Ogerpon
2,Clefairy,Iron Hands,Urshifu,Tornadus,Arcanine,Gholdengo,Urshifu,Flutter Mane,Ogerpon,Rillaboom,Dondozo,Tatsugiri
1,Gholdengo,Iron Hands,Landorus,Tornadus,Ogerpon,Urshifu,Arcanine,Tyranitar,Rillaboom,Kommo,Iron Bundle,Flutter Mane
2,Indeedee,Torkoal,Armarouge,Ursaluna,Flutter Mane,Urshifu,Dondozo,Tatsugiri,Flutter Mane,Chi,Tornadus,Glimmora
2,Milotic,Rillaboom,Ogerpon,Zapdos,Chandelure,Clefairy,Tornadus,Chien,Flutter Mane,Iron Hands,Landorus,Gholdengo
1,Fezandipiti,Garganacl,Ogerpon,Ceruledge,Clefairy,Roaring Moon,Wyrdeer,Rillaboom,Annihilape,Articuno,Tatsugiri,Landorus
1,Tyranitar,Munkidori,Mimikyu,Enamorus,Kingambit,Ogerpon,Goodra,Grimmsnarl,Landorus,Sinistcha,Heatran,Urshifu
1,Goodra,Grimmsnarl,Arcanine,Urshifu,Cresselia,Rillaboom,Landorus,Heatran,Iron Bundle,Iron Hands,Rillaboom,Ninetales
2,Flutter Mane,Glimmora,Tatsugiri,Dondozo,Chi,Tornadus,Grimmsnarl,Sylveon,Ogerpon,Goodra,Sinistcha,Ting
